PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-21.438037,-28.060804,44.265323
-21.438037,-26.993212,44.265323
-21.438037,-25.925620,44.265323
-21.438037,-24.858028,44.265323
-21.438037,-23.790436,44.265323
-21.438037,-22.722844,44.265323
-21.438037,-21.655252,44.265323
-21.438037,-20.587660,44.265323
-21.438037,-19.520068,44.265323
-21.438037,-18.452476,44.265323
-21.438037,-17.384884,44.265323
-21.438037,-16.317292,44.265323
-21.438037,-15.249700,44.265323
-21.438037,-14.182108,44.265323
-21.438037,-13.114516,44.265323
-21.438037,-12.046924,44.265323
-21.438037,-10.979332,44.265323
-21.438037,-9.911740,44.265323
-21.438037,-8.844148,44.265323
-21.438037,-7.776556,44.265323
-21.438037,-6.708964,44.265323
-21.438037,-5.641372,44.265323
-21.438037,-4.573780,44.265323
-21.438037,-3.506188,44.265323
-21.438037,-2.438596,44.265323
-21.438037,-1.371004,44.265323
-21.438037,-0.303412,44.265323
-21.438037,0.764180,44.265323
-21.438037,1.831772,44.265323
-21.438037,2.899364,44.265323
-21.438037,3.966956,44.265323
-21.438037,5.034548,44.265323
-21.438037,6.102140,44.265323
-21.438037,7.169732,44.265323
-21.438037,8.237324,44.265323
-21.438037,9.304916,44.265323
-21.438037,10.372508,44.265323
-21.438037,11.440100,12.546911
-21.438037,12.507692,12.546911
-21.438037,13.575284,12.546911
-21.438037,14.642876,44.265323
-21.438037,15.710468,44.265323
-21.438037,16.778060,44.265323
-21.438037,17.845652,44.265323
-21.438037,18.913244,44.265323
-21.438037,19.980836,44.265323
-21.438037,21.048428,44.265323
-21.438037,22.116020,44.265323
-21.438037,23.183612,44.265323
-21.438037,24.251204,44.265323
-20.428111,-28.060804,44.265323
-20.428111,-26.993212,44.265323
-20.428111,-25.925620,44.265323
-20.428111,-24.858028,44.265323
-20.428111,-23.790436,44.265323
-20.428111,-22.722844,44.265323
-20.428111,-21.655252,44.265323
-20.428111,-20.587660,44.265323
-20.428111,-19.520068,44.265323
-20.428111,-18.452476,44.265323
-20.428111,-17.384884,44.265323
-20.428111,-16.317292,44.265323
-20.428111,-15.249700,44.265323
-20.428111,-14.182108,44.265323
-20.428111,-13.114516,44.265323
-20.428111,-12.046924,44.265323
-20.428111,-10.979332,44.265323
-20.428111,-9.911740,44.265323
-20.428111,-8.844148,44.265323
-20.428111,-7.776556,12.546911
-20.428111,-6.708964,44.265323
-20.428111,-5.641372,10.818067
-20.428111,-4.573780,44.265323
-20.428111,-3.506188,10.818067
-20.428111,-2.438596,44.265323
