PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-26.273832,-19.438072,45.539424
-26.273832,-18.592616,45.539424
-26.273832,-17.747160,45.539424
-26.273832,-16.901704,45.539424
-26.273832,-16.056248,45.539424
-26.273832,-15.210792,45.539424
-26.273832,-14.365336,45.539424
-26.273832,-13.519880,45.539424
-26.273832,-12.674424,45.539424
-26.273832,-11.828968,13.821012
-26.273832,-10.983512,12.092168
-26.273832,-10.138056,45.539424
-26.273832,-9.292600,12.092168
-26.273832,-8.447144,11.080858
-26.273832,-7.601688,13.821012
-26.273832,-6.756232,12.092168
-26.273832,-5.910776,45.539424
-26.273832,-5.065320,13.821012
-26.273832,-4.219864,45.539424
-26.273832,-3.374408,45.539424
-26.273832,-2.528952,13.821012
-26.273832,-1.683496,13.821012
-26.273832,-0.838040,45.539424
-26.273832,0.007416,45.539424
-26.273832,0.852872,45.539424
-26.273832,1.698328,45.539424
-26.273832,2.543784,45.539424
-26.273832,3.389240,45.539424
-26.273832,4.234696,45.539424
-26.273832,5.080152,45.539424
-26.273832,5.925608,45.539424
-26.273832,6.771064,45.539424
-26.273832,7.616520,45.539424
-26.273832,8.461976,45.539424
-26.273832,9.307432,45.539424
-26.273832,10.152888,45.539424
-26.273832,10.998344,45.539424
-26.273832,11.843800,45.539424
-26.273832,12.689256,45.539424
-26.273832,13.534712,45.539424
-26.273832,14.380168,45.539424
-26.273832,15.225624,45.539424
-26.273832,16.071080,45.539424
-26.273832,16.916536,45.539424
-26.273832,17.761992,45.539424
-26.273832,18.607448,45.539424
-26.273832,19.452904,45.539424
-26.273832,20.298360,45.539424
-26.273832,21.143816,45.539424
-26.273832,21.989272,45.539424
-25.309896,-19.438072,45.539424
-25.309896,-18.592616,45.539424
-25.309896,-17.747160,45.539424
-25.309896,-16.901704,45.539424
-25.309896,-16.056248,45.539424
-25.309896,-15.210792,45.539424
-25.309896,-14.365336,45.539424
-25.309896,-13.519880,45.539424
-25.309896,-12.674424,12.092168
-25.309896,-11.828968,9.352012
-25.309896,-10.983512,13.821012
-25.309896,-10.138056,11.080858
-25.309896,-9.292600,10.363322
-25.309896,-8.447144,9.352012
-25.309896,-7.601688,9.806758
-25.309896,-6.756232,11.080858
-25.309896,-5.910776,10.363322
-25.309896,-5.065320,13.821012
-25.309896,-4.219864,12.092168
-25.309896,-3.374408,13.821012
-25.309896,-2.528952,45.539424
-25.309896,-1.683496,45.539424
-25.309896,-0.838040,45.539424
-25.309896,0.007416,45.539424
-25.309896,0.852872,45.539424
-25.309896,1.698328,45.539424
-25.309896,2.543784,45.539424
-25.309896,3.389240,45.539424
-25.309896,4.234696,45.539424
-25.309896,5.080152,45.539424
-25.309896,5.925608,45.539424
