PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-23.980747,-30.331475,46.371657
-23.980747,-29.316025,46.371657
-23.980747,-28.300575,46.371657
-23.980747,-27.285125,46.371657
-23.980747,-26.269675,46.371657
-23.980747,-25.254225,46.371657
-23.980747,-24.238775,46.371657
-23.980747,-23.223325,46.371657
-23.980747,-22.207875,46.371657
-23.980747,-21.192425,46.371657
-23.980747,-20.176975,46.371657
-23.980747,-19.161525,46.371657
-23.980747,-18.146075,46.371657
-23.980747,-17.130625,46.371657
-23.980747,-16.115175,46.371657
-23.980747,-15.099725,46.371657
-23.980747,-14.084275,46.371657
-23.980747,-13.068825,46.371657
-23.980747,-12.053375,46.371657
-23.980747,-11.037925,46.371657
-23.980747,-10.022475,46.371657
-23.980747,-9.007025,46.371657
-23.980747,-7.991575,46.371657
-23.980747,-6.976125,46.371657
-23.980747,-5.960675,46.371657
-23.980747,-4.945225,46.371657
-23.980747,-3.929775,46.371657
-23.980747,-2.914325,46.371657
-23.980747,-1.898875,46.371657
-23.980747,-0.883425,46.371657
-23.980747,0.132025,46.371657
-23.980747,1.147475,46.371657
-23.980747,2.162925,46.371657
-23.980747,3.178375,46.371657
-23.980747,4.193825,46.371657
-23.980747,5.209275,46.371657
-23.980747,6.224725,46.371657
-23.980747,7.240175,46.371657
-23.980747,8.255625,46.371657
-23.980747,9.271075,46.371657
-23.980747,10.286525,46.371657
-23.980747,11.301975,14.653245
-23.980747,12.317425,46.371657
-23.980747,13.332875,14.653245
-23.980747,14.348325,14.653245
-23.980747,15.363775,46.371657
-23.980747,16.379225,46.371657
-23.980747,17.394675,46.371657
-23.980747,18.410125,46.371657
-23.980747,19.425575,46.371657
-22.758641,-30.331475,46.371657
-22.758641,-29.316025,46.371657
-22.758641,-28.300575,46.371657
-22.758641,-27.285125,46.371657
-22.758641,-26.269675,46.371657
-22.758641,-25.254225,46.371657
-22.758641,-24.238775,46.371657
-22.758641,-23.223325,46.371657
-22.758641,-22.207875,46.371657
-22.758641,-21.192425,46.371657
-22.758641,-20.176975,46.371657
-22.758641,-19.161525,46.371657
-22.758641,-18.146075,46.371657
-22.758641,-17.130625,46.371657
-22.758641,-16.115175,46.371657
-22.758641,-15.099725,46.371657
