PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-32.321358,-20.653420,45.736808
-32.321358,-19.684660,45.736808
-32.321358,-18.715900,45.736808
-32.321358,-17.747140,45.736808
-32.321358,-16.778380,45.736808
-32.321358,-15.809620,45.736808
-32.321358,-14.840860,45.736808
-32.321358,-13.872100,45.736808
-32.321358,-12.903340,45.736808
-32.321358,-11.934580,11.278243
-32.321358,-10.965820,14.018396
-32.321358,-9.997060,45.736808
-32.321358,-9.028300,10.560707
-32.321358,-8.059540,45.736808
-32.321358,-7.090780,14.018396
-32.321358,-6.122020,45.736808
-32.321358,-5.153260,45.736808
-32.321358,-4.184500,45.736808
-32.321358,-3.215740,45.736808
-32.321358,-2.246980,45.736808
-32.321358,-1.278220,45.736808
-32.321358,-0.309460,45.736808
-32.321358,0.659300,45.736808
-32.321358,1.628060,45.736808
-32.321358,2.596820,45.736808
-32.321358,3.565580,45.736808
-32.321358,4.534340,45.736808
-32.321358,5.503100,45.736808
-32.321358,6.471860,45.736808
-32.321358,7.440620,45.736808
-32.321358,8.409380,45.736808
-32.321358,9.378140,45.736808
-32.321358,10.346900,45.736808
-32.321358,11.315660,45.736808
-32.321358,12.284420,45.736808
-32.321358,13.253180,45.736808
-32.321358,14.221940,45.736808
-32.321358,15.190700,45.736808
-32.321358,16.159460,45.736808
-32.321358,17.128220,45.736808
-32.321358,18.096980,45.736808
-32.321358,19.065740,45.736808
-32.321358,20.034500,45.736808
-32.321358,21.003260,45.736808
-32.321358,21.972020,45.736808
-32.321358,22.940780,45.736808
-32.321358,23.909540,45.736808
-32.321358,24.878300,45.736808
-32.321358,25.847060,45.736808
-32.321358,26.815820,45.736808
-31.021474,-20.653420,45.736808
-31.021474,-19.684660,45.736808
-31.021474,-18.715900,45.736808
-31.021474,-17.747140,45.736808
-31.021474,-16.778380,45.736808
-31.021474,-15.809620,45.736808
-31.021474,-14.840860,14.018396
-31.021474,-13.872100,10.560707
-31.021474,-12.903340,8.831860
-31.021474,-11.934580,10.004142
-31.021474,-10.965820,8.831860
-31.021474,-9.997060,10.004142
-31.021474,-9.028300,9.164914
-31.021474,-8.059540,8.538085
-31.021474,-7.090780,8.275295
-31.021474,-6.122020,10.560707
-31.021474,-5.153260,14.018396
-31.021474,-4.184500,12.289552
-31.021474,-3.215740,14.018396
-31.021474,-2.246980,45.736808
-31.021474,-1.278220,45.736808
-31.021474,-0.309460,45.736808
-31.021474,0.659300,45.736808
-31.021474,1.628060,45.736808
-31.021474,2.596820,45.736808
-31.021474,3.565580,45.736808
-31.021474,4.534340,45.736808
-31.021474,5.503100,45.736808
-31.021474,6.471860,45.736808
-31.021474,7.440620,45.736808
-31.021474,8.409380,45.736808
-31.021474,9.378140,45.736808
-31.021474,10.346900,45.736808
-31.021474,11.315660,45.736808
-31.021474,12.284420,45.736808
-31.021474,13.253180,45.736808
-31.021474,14.221940,45.736808
-31.021474,15.190700,45.736808
-31.021474,16.159460,45.736808
-31.021474,17.128220,45.736808
-31.021474,18.096980,45.736808
-31.021474,19.065740,45.736808
-31.021474,20.034500,45.736808
-31.021474,21.003260,45.736808
-31.021474,21.972020,45.736808
-31.021474,22.940780,45.736808
-31.021474,23.909540,45.736808
-31.021474,24.878300,45.736808
-31.021474,25.847060,45.736808
-31.021474,26.815820,45.736808
-29.721590,-20.653420,45.736808
-29.721590,-19.684660,45.736808
-29.721590,-18.715900,45.736808
-29.721590,-17.747140,14.018396
-29.721590,-16.778380,14.018396
-29.721590,-15.809620,10.560707
-29.721590,-14.840860,8.831860
-29.721590,-13.872100,8.275295
-29.721590,-12.903340,7.620907
-29.721590,-11.934580,6.424756
-29.721590,-10.965820,5.453353
-29.721590,-9.997060,5.535137
-29.721590,-9.028300,5.619694
-29.721590,-8.059540,5.619694
-29.721590,-7.090780,5.892059
-29.721590,-6.122020,6.809238
-29.721590,-5.153260,7.436067
-29.721590,-4.184500,10.004142
-29.721590,-3.215740,12.289552
-29.721590,-2.246980,14.018396
-29.721590,-1.278220,45.736808
-29.721590,-0.309460,45.736808
-29.721590,0.659300,45.736808
-29.721590,1.628060,45.736808
-29.721590,2.596820,45.736808
-29.721590,3.565580,45.736808
-29.721590,4.534340,45.736808
-29.721590,5.503100,45.736808
-29.721590,6.471860,45.736808
-29.721590,7.440620,45.736808
-29.721590,8.409380,45.736808
-29.721590,9.378140,45.736808
-29.721590,10.346900,45.736808
-29.721590,11.315660,45.736808
-29.721590,12.284420,45.736808
-29.721590,13.253180,45.736808
-29.721590,14.221940,45.736808
-29.721590,15.190700,45.736808
-29.721590,16.159460,45.736808
-29.721590,17.128220,45.736808
-29.721590,18.096980,45.736808
-29.721590,19.065740,45.736808
-29.721590,20.034500,45.736808
-29.721590,21.003260,45.736808
-29.721590,21.972020,45.736808
-29.721590,22.940780,45.736808
-29.721590,23.909540,45.736808
-29.721590,24.878300,45.736808
-29.721590,25.847060,45.736808
-29.721590,26.815820,45.736808
-28.421706,-20.653420,45.736808
-28.421706,-19.684660,45.736808
-28.421706,-18.715900,45.736808
-28.421706,-17.747140,45.736808
-28.421706,-16.778380,45.736808
-28.421706,-15.809620,9.164914
-28.421706,-14.840860,7.820549
