PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-25.824094,-20.653524,44.114113
-25.824094,-19.884972,44.114113
-25.824094,-19.116420,44.114113
-25.824094,-18.347868,44.114113
-25.824094,-17.579316,44.114113
-25.824094,-16.810764,44.114113
-25.824094,-16.042212,44.114113
-25.824094,-15.273660,44.114113
-25.824094,-14.505108,44.114113
-25.824094,-13.736556,44.114113
-25.824094,-12.968004,44.114113
-25.824094,-12.199452,44.114113
-25.824094,-11.430900,44.114113
-25.824094,-10.662348,44.114113
-25.824094,-9.893796,44.114113
-25.824094,-9.125244,44.114113
-25.824094,-8.356692,44.114113
-25.824094,-7.588140,44.114113
-25.824094,-6.819588,44.114113
-25.824094,-6.051036,44.114113
-25.824094,-5.282484,44.114113
-25.824094,-4.513932,44.114113
-25.824094,-3.745380,44.114113
-25.824094,-2.976828,44.114113
-25.824094,-2.208276,44.114113
-25.824094,-1.439724,44.114113
-25.824094,-0.671172,44.114113
-25.824094,0.097380,44.114113
-25.824094,0.865932,44.114113
-25.824094,1.634484,44.114113
-25.824094,2.403036,44.114113
-25.824094,3.171588,8.938011
-25.824094,3.940140,44.114113
-25.824094,4.708692,12.395701
-25.824094,5.477244,8.381447
-25.824094,6.245796,44.114113
-25.824094,7.014348,10.666857
-25.824094,7.782900,10.666857
-25.824094,8.551452,44.114113
-25.824094,9.320004,44.114113
-25.824094,10.088556,44.114113
-25.824094,10.857108,44.114113
-25.824094,11.625660,44.114113
-25.824094,12.394212,44.114113
-25.824094,13.162764,44.114113
-25.824094,13.931316,44.114113
-25.824094,14.699868,44.114113
-25.824094,15.468420,44.114113
-25.824094,16.236972,44.114113
-25.824094,17.005524,44.114113
-24.850882,-20.653524,44.114113
-24.850882,-19.884972,44.114113
-24.850882,-19.116420,44.114113
-24.850882,-18.347868,44.114113
-24.850882,-17.579316,44.114113
-24.850882,-16.810764,44.114113
-24.850882,-16.042212,44.114113
-24.850882,-15.273660,44.114113
-24.850882,-14.505108,44.114113
-24.850882,-13.736556,44.114113
-24.850882,-12.968004,44.114113
-24.850882,-12.199452,44.114113
-24.850882,-11.430900,44.114113
-24.850882,-10.662348,44.114113
-24.850882,-9.893796,44.114113
-24.850882,-9.125244,44.114113
-24.850882,-8.356692,44.114113
-24.850882,-7.588140,44.114113
-24.850882,-6.819588,44.114113
-24.850882,-6.051036,44.114113
-24.850882,-5.282484,44.114113
-24.850882,-4.513932,44.114113
-24.850882,-3.745380,44.114113
-24.850882,-2.976828,12.395701
-24.850882,-2.208276,44.114113
-24.850882,-1.439724,44.114113
-24.850882,-0.671172,44.114113
-24.850882,0.097380,12.395701
-24.850882,0.865932,12.395701
-24.850882,1.634484,8.938011
-24.850882,2.403036,7.209164
-24.850882,3.171588,9.655547
-24.850882,3.940140,10.666857
-24.850882,4.708692,8.381447
-24.850882,5.477244,8.381447
-24.850882,6.245796,6.915390
-24.850882,7.014348,6.414877
-24.850882,7.782900,10.666857
-24.850882,8.551452,10.666857
-24.850882,9.320004,7.209164
-24.850882,10.088556,8.938011
-24.850882,10.857108,12.395701
-24.850882,11.625660,10.666857
-24.850882,12.394212,44.114113
-24.850882,13.162764,44.114113
-24.850882,13.931316,44.114113
-24.850882,14.699868,44.114113
-24.850882,15.468420,44.114113
-24.850882,16.236972,44.114113
-24.850882,17.005524,44.114113
-23.877670,-20.653524,44.114113
-23.877670,-19.884972,44.114113
-23.877670,-19.116420,44.114113
-23.877670,-18.347868,44.114113
-23.877670,-17.579316,44.114113
-23.877670,-16.810764,44.114113
-23.877670,-16.042212,44.114113
-23.877670,-15.273660,44.114113
-23.877670,-14.505108,44.114113
-23.877670,-13.736556,44.114113
-23.877670,-12.968004,44.114113
-23.877670,-12.199452,44.114113
-23.877670,-11.430900,44.114113
-23.877670,-10.662348,44.114113
-23.877670,-9.893796,44.114113
-23.877670,-9.125244,44.114113
-23.877670,-8.356692,44.114113
-23.877670,-7.588140,12.395701
-23.877670,-6.819588,44.114113
-23.877670,-6.051036,8.938011
-23.877670,-5.282484,10.666857
-23.877670,-4.513932,12.395701
-23.877670,-3.745380,10.666857
-23.877670,-2.976828,12.395701
-23.877670,-2.208276,44.114113
-23.877670,-1.439724,10.666857
-23.877670,-0.671172,9.655547
-23.877670,0.097380,9.655547
-23.877670,0.865932,6.197854
-23.877670,1.634484,7.542218
-23.877670,2.403036,6.652600
-23.877670,3.171588,7.926701
-23.877670,3.940140,6.652600
-23.877670,4.708692,5.480317
-23.877670,5.477244,4.923753
-23.877670,6.245796,5.813371
-23.877670,7.014348,4.575158
-23.877670,7.782900,5.813371
-23.877670,8.551452,5.480317
-23.877670,9.320004,5.813371
-23.877670,10.088556,6.652600
-23.877670,10.857108,7.209164
-23.877670,11.625660,8.938011
-23.877670,12.394212,9.655547
-23.877670,13.162764,12.395701
-23.877670,13.931316,44.114113
-23.877670,14.699868,44.114113
-23.877670,15.468420,44.114113
-23.877670,16.236972,44.114113
-23.877670,17.005524,44.114113
-22.904458,-20.653524,44.114113
-22.904458,-19.884972,44.114113
-22.904458,-19.116420,44.114113
-22.904458,-18.347868,44.114113
-22.904458,-17.579316,44.114113
-22.904458,-16.810764,44.114113
-22.904458,-16.042212,44.114113
-22.904458,-15.273660,44.114113
-22.904458,-14.505108,44.114113
-22.904458,-13.736556,44.114113
-22.904458,-12.968004,44.114113
-22.904458,-12.199452,44.114113
-22.904458,-11.430900,44.114113
-22.904458,-10.662348,44.114113
-22.904458,-9.893796,44.114113
-22.904458,-9.125244,12.395701
-22.904458,-8.356692,10.666857
-22.904458,-7.588140,12.395701
-22.904458,-6.819588,7.926701
-22.904458,-6.051036,7.542218
-22.904458,-5.282484,12.395701
-22.904458,-4.513932,7.542218
-22.904458,-3.745380,7.209164
-22.904458,-2.976828,7.542218
-22.904458,-2.208276,6.915390
-22.904458,-1.439724,12.395701
-22.904458,-0.671172,8.381447
-22.904458,0.097380,12.395701
-22.904458,0.865932,7.926701
-22.904458,1.634484,6.197854
-22.904458,2.403036,5.329107
-22.904458,3.171588,4.084524
-22.904458,3.940140,5.186543
-22.904458,4.708692,3.600260
-22.904458,5.477244,4.469006
-22.904458,6.245796,2.311530
-22.904458,7.014348,3.194905
