PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-34.798542,-24.033734,45.781589
-34.798542,-23.312802,45.781589
-34.798542,-22.591870,45.781589
-34.798542,-21.870938,45.781589
-34.798542,-21.150006,45.781589
-34.798542,-20.429074,45.781589
-34.798542,-19.708142,45.781589
-34.798542,-18.987210,45.781589
-34.798542,-18.266278,45.781589
-34.798542,-17.545346,45.781589
-34.798542,-16.824414,45.781589
-34.798542,-16.103482,45.781589
-34.798542,-15.382550,45.781589
-34.798542,-14.661618,45.781589
-34.798542,-13.940686,45.781589
-34.798542,-13.219754,45.781589
-34.798542,-12.498822,45.781589
-34.798542,-11.777890,45.781589
-34.798542,-11.056958,45.781589
-34.798542,-10.336026,45.781589
-34.798542,-9.615094,45.781589
-34.798542,-8.894162,45.781589
-34.798542,-8.173230,45.781589
-34.798542,-7.452298,45.781589
-34.798542,-6.731366,45.781589
-34.798542,-6.010434,45.781589
-34.798542,-5.289502,45.781589
-34.798542,-4.568570,45.781589
-34.798542,-3.847638,45.781589
-34.798542,-3.126706,45.781589
-34.798542,-2.405774,45.781589
-34.798542,-1.684842,45.781589
-34.798542,-0.963910,45.781589
-34.798542,-0.242978,45.781589
-34.798542,0.477954,45.781589
-34.798542,1.198886,45.781589
-34.798542,1.919818,45.781589
-34.798542,2.640750,45.781589
-34.798542,3.361682,45.781589
-34.798542,4.082614,45.781589
-34.798542,4.803546,45.781589
-34.798542,5.524478,45.781589
-34.798542,6.245410,45.781589
-34.798542,6.966342,45.781589
-34.798542,7.687274,14.063177
-34.798542,8.408206,45.781589
-34.798542,9.129138,45.781589
-34.798542,9.850070,45.781589
-34.798542,10.571002,45.781589
-34.798542,11.291934,45.781589
-33.755826,-24.033734,45.781589
-33.755826,-23.312802,45.781589
-33.755826,-22.591870,45.781589
-33.755826,-21.870938,45.781589
-33.755826,-21.150006,45.781589
-33.755826,-20.429074,45.781589
-33.755826,-19.708142,45.781589
-33.755826,-18.987210,45.781589
-33.755826,-18.266278,45.781589
-33.755826,-17.545346,45.781589
-33.755826,-16.824414,45.781589
-33.755826,-16.103482,45.781589
-33.755826,-15.382550,45.781589
-33.755826,-14.661618,45.781589
-33.755826,-13.940686,45.781589
-33.755826,-13.219754,45.781589
-33.755826,-12.498822,45.781589
-33.755826,-11.777890,45.781589
-33.755826,-11.056958,45.781589
-33.755826,-10.336026,45.781589
-33.755826,-9.615094,45.781589
-33.755826,-8.894162,45.781589
-33.755826,-8.173230,45.781589
-33.755826,-7.452298,45.781589
-33.755826,-6.731366,45.781589
-33.755826,-6.010434,45.781589
-33.755826,-5.289502,45.781589
-33.755826,-4.568570,45.781589
-33.755826,-3.847638,45.781589
-33.755826,-3.126706,45.781589
-33.755826,-2.405774,45.781589
-33.755826,-1.684842,45.781589
-33.755826,-0.963910,45.781589
-33.755826,-0.242978,45.781589
-33.755826,0.477954,45.781589
-33.755826,1.198886,45.781589
-33.755826,1.919818,45.781589
-33.755826,2.640750,45.781589
-33.755826,3.361682,45.781589
-33.755826,4.082614,14.063177
-33.755826,4.803546,45.781589
-33.755826,5.524478,14.063177
-33.755826,6.245410,45.781589
-33.755826,6.966342,45.781589
-33.755826,7.687274,45.781589
-33.755826,8.408206,45.781589
-33.755826,9.129138,45.781589
-33.755826,9.850070,45.781589
-33.755826,10.571002,45.781589
-33.755826,11.291934,45.781589
