PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-26.448263,-21.360046,44.844606
-26.448263,-20.507338,44.844606
-26.448263,-19.654630,44.844606
-26.448263,-18.801922,44.844606
-26.448263,-17.949214,44.844606
-26.448263,-17.096506,44.844606
-26.448263,-16.243798,44.844606
-26.448263,-15.391090,44.844606
-26.448263,-14.538382,44.844606
-26.448263,-13.685674,44.844606
-26.448263,-12.832966,44.844606
-26.448263,-11.980258,44.844606
-26.448263,-11.127550,44.844606
-26.448263,-10.274842,44.844606
-26.448263,-9.422134,44.844606
-26.448263,-8.569426,44.844606
-26.448263,-7.716718,44.844606
-26.448263,-6.864010,44.844606
-26.448263,-6.011302,44.844606
-26.448263,-5.158594,44.844606
-26.448263,-4.305886,44.844606
-26.448263,-3.453178,44.844606
-26.448263,-2.600470,44.844606
-26.448263,-1.747762,44.844606
-26.448263,-0.895054,44.844606
-26.448263,-0.042346,44.844606
-26.448263,0.810362,44.844606
-26.448263,1.663070,44.844606
-26.448263,2.515778,44.844606
-26.448263,3.368486,44.844606
-26.448263,4.221194,13.126194
-26.448263,5.073902,13.126194
-26.448263,5.926610,11.397350
-26.448263,6.779318,11.397350
-26.448263,7.632026,44.844606
-26.448263,8.484734,44.844606
-26.448263,9.337442,44.844606
-26.448263,10.190150,44.844606
-26.448263,11.042858,44.844606
-26.448263,11.895566,44.844606
-26.448263,12.748274,44.844606
-26.448263,13.600982,44.844606
-26.448263,14.453690,44.844606
-26.448263,15.306398,44.844606
-26.448263,16.159106,44.844606
-26.448263,17.011814,44.844606
-26.448263,17.864522,44.844606
-26.448263,18.717230,44.844606
-26.448263,19.569938,44.844606
-26.448263,20.422646,44.844606
-25.404989,-21.360046,44.844606
-25.404989,-20.507338,44.844606
-25.404989,-19.654630,44.844606
-25.404989,-18.801922,44.844606
-25.404989,-17.949214,44.844606
-25.404989,-17.096506,44.844606
-25.404989,-16.243798,44.844606
-25.404989,-15.391090,44.844606
-25.404989,-14.538382,44.844606
-25.404989,-13.685674,44.844606
-25.404989,-12.832966,44.844606
-25.404989,-11.980258,44.844606
-25.404989,-11.127550,44.844606
-25.404989,-10.274842,44.844606
-25.404989,-9.422134,44.844606
-25.404989,-8.569426,44.844606
-25.404989,-7.716718,44.844606
-25.404989,-6.864010,44.844606
-25.404989,-6.011302,44.844606
-25.404989,-5.158594,44.844606
-25.404989,-4.305886,44.844606
-25.404989,-3.453178,44.844606
-25.404989,-2.600470,44.844606
-25.404989,-1.747762,44.844606
-25.404989,-0.895054,44.844606
-25.404989,-0.042346,44.844606
-25.404989,0.810362,44.844606
-25.404989,1.663070,44.844606
-25.404989,2.515778,13.126194
-25.404989,3.368486,10.386041
-25.404989,4.221194,10.386041
-25.404989,5.073902,8.272712
-25.404989,5.926610,8.657194
-25.404989,6.779318,13.126194
-25.404989,7.632026,13.126194
-25.404989,8.484734,13.126194
-25.404989,9.337442,44.844606
-25.404989,10.190150,44.844606
-25.404989,11.042858,44.844606
-25.404989,11.895566,44.844606
-25.404989,12.748274,44.844606
-25.404989,13.600982,44.844606
-25.404989,14.453690,44.844606
-25.404989,15.306398,44.844606
-25.404989,16.159106,44.844606
-25.404989,17.011814,44.844606
-25.404989,17.864522,44.844606
-25.404989,18.717230,44.844606
-25.404989,19.569938,44.844606
-25.404989,20.422646,44.844606
-24.361715,-21.360046,44.844606
-24.361715,-20.507338,44.844606
-24.361715,-19.654630,44.844606
-24.361715,-18.801922,44.844606
-24.361715,-17.949214,44.844606
-24.361715,-17.096506,44.844606
-24.361715,-16.243798,44.844606
-24.361715,-15.391090,44.844606
-24.361715,-14.538382,44.844606
-24.361715,-13.685674,44.844606
-24.361715,-12.832966,44.844606
-24.361715,-11.980258,44.844606
-24.361715,-11.127550,44.844606
-24.361715,-10.274842,44.844606
-24.361715,-9.422134,44.844606
-24.361715,-8.569426,44.844606
-24.361715,-7.716718,44.844606
-24.361715,-6.864010,44.844606
-24.361715,-6.011302,44.844606
-24.361715,-5.158594,44.844606
-24.361715,-4.305886,44.844606
-24.361715,-3.453178,44.844606
-24.361715,-2.600470,44.844606
-24.361715,-1.747762,44.844606
-24.361715,-0.895054,44.844606
-24.361715,-0.042346,10.386041
-24.361715,0.810362,13.126194
-24.361715,1.663070,11.397350
-24.361715,2.515778,8.657194
-24.361715,3.368486,6.543865
-24.361715,4.221194,5.782182
-24.361715,5.073902,5.917036
-24.361715,5.926610,5.199500
-24.361715,6.779318,8.272712
-24.361715,7.632026,9.668505
-24.361715,8.484734,11.397350
-24.361715,9.337442,44.844606
-24.361715,10.190150,44.844606
-24.361715,11.042858,44.844606
-24.361715,11.895566,44.844606
-24.361715,12.748274,44.844606
-24.361715,13.600982,44.844606
-24.361715,14.453690,44.844606
-24.361715,15.306398,44.844606
-24.361715,16.159106,44.844606
-24.361715,17.011814,44.844606
-24.361715,17.864522,44.844606
-24.361715,18.717230,44.844606
-24.361715,19.569938,44.844606
-24.361715,20.422646,44.844606
-23.318441,-21.360046,44.844606
-23.318441,-20.507338,44.844606
-23.318441,-19.654630,44.844606
-23.318441,-18.801922,44.844606
-23.318441,-17.949214,44.844606
-23.318441,-17.096506,44.844606
-23.318441,-16.243798,44.844606
-23.318441,-15.391090,44.844606
-23.318441,-14.538382,44.844606
-23.318441,-13.685674,44.844606
-23.318441,-12.832966,44.844606
-23.318441,-11.980258,44.844606
-23.318441,-11.127550,44.844606
-23.318441,-10.274842,44.844606
-23.318441,-9.422134,44.844606
-23.318441,-8.569426,44.844606
-23.318441,-7.716718,44.844606
-23.318441,-6.864010,44.844606
-23.318441,-6.011302,44.844606
-23.318441,-5.158594,44.844606
-23.318441,-4.305886,44.844606
-23.318441,-3.453178,44.844606
-23.318441,-2.600470,44.844606
-23.318441,-1.747762,44.844606
-23.318441,-0.895054,13.126194
-23.318441,-0.042346,13.126194
-23.318441,0.810362,7.939658
-23.318441,1.663070,6.928347
-23.318441,2.515778,5.654246
-23.318441,3.368486,4.561151
-23.318441,4.221194,3.631624
-23.318441,5.073902,3.319442
-23.318441,5.926610,5.199500
-23.318441,6.779318,6.728705
-23.318441,7.632026,7.939658
-23.318441,8.484734,13.126194
-23.318441,9.337442,11.397350
-23.318441,10.190150,44.844606
-23.318441,11.042858,44.844606
-23.318441,11.895566,44.844606
-23.318441,12.748274,44.844606
-23.318441,13.600982,44.844606
-23.318441,14.453690,44.844606
-23.318441,15.306398,44.844606
-23.318441,16.159106,44.844606
-23.318441,17.011814,44.844606
-23.318441,17.864522,44.844606
-23.318441,18.717230,44.844606
-23.318441,19.569938,44.844606
-23.318441,20.422646,44.844606
-22.275167,-21.360046,44.844606
-22.275167,-20.507338,44.844606
-22.275167,-19.654630,44.844606
-22.275167,-18.801922,44.844606
-22.275167,-17.949214,44.844606
-22.275167,-17.096506,44.844606
-22.275167,-16.243798,44.844606
-22.275167,-15.391090,44.844606
-22.275167,-14.538382,44.844606
-22.275167,-13.685674,44.844606
-22.275167,-12.832966,44.844606
-22.275167,-11.980258,44.844606
-22.275167,-11.127550,44.844606
-22.275167,-10.274842,44.844606
-22.275167,-9.422134,44.844606
-22.275167,-8.569426,44.844606
-22.275167,-7.716718,44.844606
-22.275167,-6.864010,44.844606
-22.275167,-6.011302,44.844606
-22.275167,-5.158594,44.844606
-22.275167,-4.305886,44.844606
-22.275167,-3.453178,44.844606
-22.275167,-2.600470,44.844606
-22.275167,-1.747762,13.126194
-22.275167,-0.895054,11.397350
-22.275167,-0.042346,9.111940
-22.275167,0.810362,7.939658
-22.275167,1.663070,4.999857
-22.275167,2.515778,4.053334
-22.275167,3.368486,2.998645
-22.275167,4.221194,2.357523
-22.275167,5.073902,2.872860
-22.275167,5.926610,4.119850
-22.275167,6.779318,5.097682
-22.275167,7.632026,7.645884
-22.275167,8.484734,9.668505
-22.275167,9.337442,11.397350
-22.275167,10.190150,11.397350
-22.275167,11.042858,13.126194
-22.275167,11.895566,44.844606
-22.275167,12.748274,44.844606
-22.275167,13.600982,44.844606
-22.275167,14.453690,44.844606
-22.275167,15.306398,44.844606
-22.275167,16.159106,44.844606
-22.275167,17.011814,44.844606
-22.275167,17.864522,44.844606
