PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-20.963785,-17.618298,44.096732
-20.963785,-16.876294,44.096732
-20.963785,-16.134290,44.096732
-20.963785,-15.392286,44.096732
-20.963785,-14.650282,44.096732
-20.963785,-13.908278,44.096732
-20.963785,-13.166274,44.096732
-20.963785,-12.424270,44.096732
-20.963785,-11.682266,44.096732
-20.963785,-10.940262,44.096732
-20.963785,-10.198258,44.096732
-20.963785,-9.456254,44.096732
-20.963785,-8.714250,44.096732
-20.963785,-7.972246,44.096732
-20.963785,-7.230242,12.378320
-20.963785,-6.488238,44.096732
-20.963785,-5.746234,12.378320
-20.963785,-5.004230,12.378320
-20.963785,-4.262226,9.638166
-20.963785,-3.520222,12.378320
-20.963785,-2.778218,44.096732
-20.963785,-2.036214,44.096732
-20.963785,-1.294210,44.096732
-20.963785,-0.552206,44.096732
-20.963785,0.189798,44.096732
-20.963785,0.931802,44.096732
-20.963785,1.673806,44.096732
-20.963785,2.415810,44.096732
-20.963785,3.157814,44.096732
-20.963785,3.899818,44.096732
-20.963785,4.641822,44.096732
-20.963785,5.383826,44.096732
-20.963785,6.125830,44.096732
-20.963785,6.867834,44.096732
-20.963785,7.609838,44.096732
-20.963785,8.351842,44.096732
-20.963785,9.093846,44.096732
-20.963785,9.835850,44.096732
-20.963785,10.577854,44.096732
-20.963785,11.319858,44.096732
-20.963785,12.061862,44.096732
-20.963785,12.803866,44.096732
-20.963785,13.545870,44.096732
-20.963785,14.287874,44.096732
-20.963785,15.029878,44.096732
-20.963785,15.771882,44.096732
-20.963785,16.513886,44.096732
-20.963785,17.255890,44.096732
-20.963785,17.997894,44.096732
-20.963785,18.739898,44.096732
-20.016755,-17.618298,44.096732
-20.016755,-16.876294,44.096732
-20.016755,-16.134290,44.096732
-20.016755,-15.392286,44.096732
-20.016755,-14.650282,44.096732
-20.016755,-13.908278,44.096732
-20.016755,-13.166274,44.096732
-20.016755,-12.424270,44.096732
-20.016755,-11.682266,44.096732
-20.016755,-10.940262,44.096732
-20.016755,-10.198258,44.096732
-20.016755,-9.456254,44.096732
-20.016755,-8.714250,44.096732
-20.016755,-7.972246,12.378320
-20.016755,-7.230242,10.649476
-20.016755,-6.488238,7.524837
-20.016755,-5.746234,7.191783
-20.016755,-5.004230,8.364066
