GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1,1721.53,4456.37,5350.73,516.21,268.38,-160.95,-4023.44,-32386.68,1725.94,22686.87,-5971.18,160.37,154.96,-5810.82,-5655.86,,,,,
11,1845.9,4417.72,5292.11,494.9,256.98,-187.8,-3901.95,-32024.55,1747.9,22666.03,-6424.61,181.73,607.24,-6242.87,-5635.63,,,,,
21,1778.61,4470.1,5311.63,496.17,275.64,-185.76,-3846.65,-31857.74,1755.37,22658.8,-6604.73,183.06,856.18,-6421.66,-5565.48,,,,,
31,1793.23,4489.46,5262.72,507.46,275.34,-201.11,-3899.13,-31994.36,1727.18,22680.02,-6466.91,181.11,640.81,-6285.81,-5645,,,,,
41,1798.99,4519.49,5260.69,512.65,254.27,-160.46,-3878.9,-31938.08,1724.18,22757.34,-6604.83,182.62,850.17,-6422.21,-5572.04,,,,,
51,1747.54,4445.25,5301.92,521.51,265.74,-179.44,-3909.81,-32091.83,1773.91,22745.37,-6390.69,179.51,620.15,-6211.18,-5591.03,,,,,
61,1834.85,4503.52,5320.24,531.5,277.37,-210.66,-3888.41,-32044.96,1729.27,22637.09,-6384.39,180.85,689.8,-6203.54,-5513.73,,,,,
71,1782.38,4460.36,5281.24,492.24,278.57,-187.73,-3927.46,-31995.3,1731.14,22662.95,-6402.88,182.31,578.38,-6220.57,-5642.19,,,,,
81,1828.91,4469.33,5273.2,505.19,282.37,-189.6,-3884.63,-31915.44,1714.9,22653.07,-6495.94,181.69,737.3,-6314.25,-5576.95,,,,,
91,1748.7,4538.49,5254.29,510.17,278.37,-194.43,-3846.37,-31958.81,1757.72,22626.16,-6470.67,187.39,714.29,-6283.28,-5568.98,,,,,
101,1806.45,4507.36,5249.6,518.36,268.49,-220.56,-3886.37,-31964.27,1717.77,22591.19,-6420.58,184.66,588.02,-6235.92,-5647.91,,,,,
111,1720.97,4414.33,5273.66,504.83,294.72,-209.87,-3904.2,-31918.85,1753.82,22704.32,-6524.82,181.97,633.74,-6342.85,-5709.1,,,,,
121,1868.09,4494.94,5247.85,508.9,291.21,-187.26,-3838.16,-31996.93,1715.01,22581.71,-6426.23,186.65,685.35,-6239.57,-5554.22,,,,,
131,1816.05,4545.56,5298.6,514.31,296.07,-215.18,-3916.58,-31969.02,1740.18,22718.72,-6540.8,186.56,828.71,-6354.24,-5525.53,,,,,
141,1745.75,4420.24,5278.36,507.05,274.04,-213,-3916.66,-31955.14,1736.87,22758.43,-6557.83,184.09,635.95,-6373.73,-5737.78,,,,,
151,1815.3,4460.41,5286.76,508.38,275.01,-200.62,-3927.57,-31826.69,1738.95,22656.46,-6570.55,183.3,786.4,-6387.25,-5600.85,,,,,
161,1805.08,4532.23,5255.52,520.09,277.45,-195.27,-3900.49,-31756.13,1743.84,22645.56,-6655.28,184.03,927.88,-6471.25,-5543.37,,,,,
171,1873.76,4490.01,5239.6,499.99,274.7,-192.46,-3869.05,-31817.43,1743.54,22602.17,-6569.89,184.13,844.82,-6385.76,-5540.94,,,,,
181,1785.95,4463.99,5290.17,499.83,278.79,-213.94,-3922.2,-31753.39,1779.18,22732.87,-6686.27,182.56,941.24,-6503.71,-5562.46,,,,,
191,1776.6,4444.24,5269.01,522.22,259.91,-203.39,-3946.6,-31940.62,1755.1,22790.73,-6551.76,181.64,727.19,-6370.12,-5642.92,,,,,
201,1830.6,4461,5294.07,501.98,289.36,-184.72,-3907.1,-31723.48,1752.18,22686.77,-6719.87,182.79,1000.66,-6537.09,-5536.43,,,,,
211,1815.18,4420.46,5314.81,503.52,280.26,-202.78,-3896,-31832.62,1736.42,22721.79,-6627.98,182.26,861.04,-6445.72,-5584.68,,,,,
221,1778.21,4428.88,5301.76,490.25,262.25,-192.62,-3940.82,-31936.72,1749.92,22721.44,-6544.88,182.41,662.55,-6362.46,-5699.91,,,,,
231,1792.72,4446.69,5291.65,508.06,274.74,-215.28,-3921.16,-32057.92,1734.81,22735.5,-6442.82,178.63,589.8,-6264.19,-5674.39,,,,,
241,1824.55,4372.63,5285.02,505.04,245.82,-185.07,-3886.26,-31902.34,1734.45,22760.27,-6626.57,184.17,754.12,-6442.4,-5688.29,,,,,
251,1819.7,4481.56,5266.31,509.28,263.21,-191.92,-3888.33,-31874.91,1747.66,22652.87,-6595.97,181.48,785.42,-6414.49,-5629.08,,,,,
261,1820.52,4457.95,5275.69,503.05,268.56,-197.26,-3888.29,-31755.54,1715.27,22588.21,-6646.59,181.53,788.16,-6465.06,-5676.9,,,,,
271,1816.78,4473.25,5255.55,522.33,272.4,-183.93,-3911.04,-31849.88,1739.4,22583.2,-6566.64,182.2,718.05,-6384.44,-5666.39,,,,,
281,1828.28,4461.93,5251.79,513.6,270.27,-215.78,-3954.81,-31777.92,1747.87,22650.38,-6623.24,178.52,775.62,-6444.72,-5669.09,,,,,
291,1819.04,4341.33,5227.34,493.56,275.57,-207.23,-3952.49,-32015.98,1778.8,22813.36,-6489.26,179.16,573.32,-6310.1,-5736.78,,,,,
301,1742.11,4390.71,5271.17,507.23,281.09,-205.19,-3917.84,-32021.39,1786.27,22742.8,-6477.61,179.29,576.94,-6298.32,-5721.38,,,,,
