GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1,1718.78,4240.89,5407.85,496.68,308.95,-166.23,-3960.94,-32418.43,1798.49,22750.1,-5976.01,160.14,176.13,-5815.87,-5639.74,,,,,
11,1845.2,4243.49,5330.55,502.64,284.3,-194.48,-3910.22,-31941.67,1730.39,22679.05,-6410.92,180.39,569.24,-6230.53,-5661.29,,,,,
21,1832.98,4231.22,5251.86,505.67,304.31,-181.36,-3923.7,-32096.26,1774.54,22633.8,-6288.29,177.84,333.05,-6110.45,-5777.4,,,,,
31,1835.42,4293.65,5261.74,495.64,278.66,-188.41,-3922.31,-32177.46,1751.5,22734.32,-6360.22,178.99,362.74,-6181.23,-5818.49,,,,,
41,1836.15,4214.1,5282.55,504.56,258.7,-199.19,-3886.07,-32215.42,1762.96,22739.15,-6275.48,180.16,297.48,-6095.32,-5797.84,,,,,
51,1800.83,4329.52,5257.02,508.48,278.14,-194.04,-3897.14,-32077.88,1746.05,22661.54,-6374.25,179.3,412.53,-6194.95,-5782.42,,,,,
61,1811.78,4281.95,5287.3,513.55,266.5,-170.03,-3949.3,-31920.73,1778.72,22598.61,-6462.92,177.9,498.35,-6285.03,-5786.67,,,,,
71,1849.39,4195.06,5295.88,509.84,261.16,-199.71,-3944.91,-32020.61,1728.34,22739.48,-6444.01,179.43,413.92,-6264.58,-5850.66,,,,,
81,1886.22,4126.07,5275.32,495.58,266,-185.3,-3939.92,-31985.56,1715.17,22718.19,-6464.49,178.84,371.78,-6285.65,-5913.87,,,,,
91,1768.78,4268.69,5248.01,518.99,286.15,-172.28,-3947.14,-31916.6,1753.69,22765.45,-6537.61,174.87,573.73,-6362.74,-5789.01,,,,,
101,1808.94,4304.11,5278.97,530.18,304.9,-171.3,-3938.51,-32000.81,1731.77,22705.57,-6470.39,177.52,553.81,-6292.87,-5739.06,,,,,
111,1847.22,4335.03,5239.29,515.44,257.72,-182.26,-3936.37,-31973.4,1732.84,22634.54,-6436.43,179.52,470.04,-6256.91,-5786.87,,,,,
121,1844.25,4248.78,5264.38,508.76,280.85,-173.02,-3909.05,-32071.6,1735.12,22740.53,-6442.17,181.24,469.01,-6260.93,-5791.93,,,,,
131,1843.08,4282.81,5282.15,504.08,266.88,-163.55,-3954.6,-32089.96,1761.31,22811.54,-6435.67,176.15,543.72,-6259.52,-5715.8,,,,,
141,1812.96,4234.56,5220.83,501.8,291.12,-192.94,-3920.45,-31957.83,1744.17,22741.31,-6580.55,182.73,475.53,-6397.82,-5922.29,,,,,
