GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1,1755.9,4295.99,5360.8,518.94,283.58,-164.69,-3995.99,-32416.54,1742.91,22674,-5961.36,158.01,54.91,-5803.36,-5748.45,,,,,
11,1777.9,4268.01,5320.63,501.86,257.56,-175.87,-3870.37,-31704.89,1756.5,22572.99,-6653.24,185.62,704.32,-6467.62,-5763.3,,,,,
21,1735.72,4331.69,5314.35,512.06,272.04,-185.15,-3883.18,-31894.31,1734.31,22564.35,-6523.07,184.38,501.88,-6338.68,-5836.8,,,,,
31,1716.29,4263.5,5228.05,493.67,270.96,-171.66,-3864.59,-31495.97,1744.61,22560.23,-6862.56,189.84,745.09,-6672.72,-5927.63,,,,,
41,1792.21,4235.92,5233.95,510.02,250.38,-170.74,-3867.62,-31624.15,1751.35,22546.97,-6678.58,187.4,658.29,-6491.18,-5832.89,,,,,
51,1818.1,4244.28,5276.16,528.68,262.39,-174.43,-3831.16,-31778.03,1742.31,22568.62,-6601.46,188.94,656.93,-6412.52,-5755.59,,,,,
61,1838.93,4260.56,5201.48,515.35,261.66,-185.03,-3840.46,-31665.43,1751.81,22491.14,-6654.05,192.82,630,-6461.23,-5831.23,,,,,
71,1803.2,4202.87,5205.44,517.03,267.21,-171.17,-3799.87,-31677.08,1703.69,22528.34,-6701.87,192.1,579.67,-6509.78,-5930.11,,,,,
81,1790.13,4217.48,5274.33,510.46,261.03,-163.36,-3858.95,-31547.07,1772.03,22585.52,-6767.35,190.45,841.61,-6576.91,-5735.3,,,,,
91,1811.53,4198.47,5185.25,514.86,277.79,-161.83,-3906.27,-31633.38,1722.99,22578.95,-6704.79,185.6,588.36,-6519.19,-5930.83,,,,,
101,1814.17,4180.83,5210.93,511.79,292.93,-164.63,-3873.96,-31801.25,1742.79,22526.27,-6566.02,185.48,439.86,-6380.53,-5940.67,,,,,
111,1841.09,4210.47,5216.75,517.84,281.08,-152.5,-3916.01,-31516.78,1760.67,22498.96,-6760.77,188.71,741.57,-6572.06,-5830.49,,,,,
121,1858.78,4144.39,5263.16,495.88,295.73,-155.23,-3840.6,-31549.96,1741.8,22468.15,-6747.87,187.59,722.1,-6560.28,-5838.19,,,,,
131,1853.78,4162.37,5213.56,498.14,260.5,-142.31,-3843.19,-31523.05,1735.88,22376.51,-6699.12,191.15,592.2,-6507.97,-5915.77,,,,,
141,1813.22,4172.23,5203.85,508.05,282.13,-129.5,-3864.48,-31750.52,1759.98,22569.87,-6575.49,185.79,564.84,-6389.71,-5824.87,,,,,
151,1806.44,4243.62,5180.08,507.11,285.94,-131.57,-3879.09,-31693.09,1735.47,22558.77,-6652.61,188.55,613.68,-6464.06,-5850.39,,,,,
161,1837.39,4205.14,5193.69,504.76,265.82,-154.02,-3877.38,-31722.51,1750.5,22427.22,-6512.16,185.83,430.62,-6326.33,-5895.71,,,,,
171,1786.96,4197.64,5242.69,522.2,269.77,-166.32,-3835.14,-31689.47,1760.6,22604.26,-6744.15,185.96,693.2,-6558.19,-5864.99,,,,,
181,1787.12,4221.52,5201.79,504.38,269.21,-165.78,-3869.47,-31723.24,1731.99,22486.17,-6587.78,189.34,443.7,-6398.44,-5954.75,,,,,
191,1765.91,4220.82,5211.8,510.24,259.58,-160.31,-3807.79,-31674.85,1731.83,22619.28,-6748.61,187.35,676.51,-6561.26,-5884.75,,,,,
201,1802.63,4271.69,5202.24,496.53,270.46,-187.07,-3850.86,-31857.56,1752.38,22540.74,-6520.99,181.62,441.19,-6339.36,-5898.17,,,,,
211,1824.98,4177.79,5277.4,518.67,259.68,-161.31,-3886.17,-31788.18,1704.37,22470.86,-6507.31,185.31,398.09,-6322.01,-5923.92,,,,,
221,1829.35,4203.42,5200.93,505.96,287.3,-187.41,-3795.3,-32000.88,1725.81,22492.1,-6409.68,184.92,261.27,-6224.75,-5963.48,,,,,
231,1766.92,4267.11,5222.77,511.13,259.94,-169.78,-3873.86,-31599.86,1736.81,22520.41,-6778.84,188.33,641.6,-6590.51,-5948.91,,,,,
241,1784,4214.72,5187.06,505.55,279.06,-166.77,-3871.19,-31981.17,1741.23,22558.44,-6440.29,179.72,250.92,-6260.57,-6009.65,,,,,
