GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
1,1739.58,4385.39,4998.51,475.43,242.19,-107.47,-4054.73,-29611.8,1666.96,17378.32,-5022.29,145.42,-2887.62,-4876.88,-7764.5,,,,,,,,,
11,1793.27,4546.94,4984.38,484.3,273.58,-99.19,-3932.11,-29172.04,1630.81,17339.15,-5442.77,161.37,-2150.93,-5281.4,-7432.32,,,,,,,,,
21,1854.74,4513.42,4983.83,492.59,255.93,-100.77,-3927.3,-29049.48,1583.05,17307.52,-5533.01,163.38,-2086.47,-5369.62,-7456.09,,,,,,,,,
31,1833.54,4503.02,4935.1,459.48,268.04,-95.01,-3862.17,-29155.69,1609.27,17259.88,-5406.27,164.09,-2244.54,-5242.18,-7486.71,,,,,,,,,
41,1833.03,4504.11,4950.37,485.41,284.77,-86.68,-3905.93,-29070.16,1613,17252.5,-5496.75,161.91,-2139.58,-5334.84,-7474.43,,,,,,,,,
51,1790.45,4517,4966.14,479.76,274.36,-81.21,-3916.47,-29193.68,1636.86,17298.04,-5377.93,160.75,-2228.75,-5217.18,-7445.93,,,,,,,,,
61,1812.63,4474.08,4991.99,470.14,292.29,-91.57,-3895.82,-29077.7,1623,17310.41,-5548.19,161.8,-2090.55,-5386.39,-7476.94,,,,,,,,,
71,1761.64,4468.19,5060.01,481.2,263.45,-110.39,-3922.72,-29071.08,1626.81,17321.75,-5530.68,166.4,-2121.14,-5364.28,-7485.43,,,,,,,,,
81,1875.34,4533.69,4961.09,477.61,266.6,-80.83,-3930.64,-28964.56,1569.62,17199.07,-5556.36,165.73,-2093.02,-5390.63,-7483.65,,,,,,,,,
91,1834.18,4567.29,4966.59,477.8,267.59,-114.55,-3880.78,-29012.36,1594.54,17248.97,-5583.45,165.46,-2050.73,-5417.99,-7468.72,,,,,,,,,
101,1816.69,4517.15,4980.92,483.92,274.55,-96.8,-3892.23,-29038.64,1604.47,17270.9,-5553.77,167.64,-2079.07,-5386.13,-7465.2,,,,,,,,,
111,1840.09,4462.35,4997.17,483.21,255.99,-99.62,-3828.25,-29078.3,1608.28,17321.96,-5551.68,165.85,-2037.11,-5385.84,-7422.95,,,,,,,,,
121,1806.72,4580.24,4955.46,475.58,287.48,-101.34,-3923.15,-28884.3,1613.54,17210.79,-5613.12,164.21,-1978.99,-5448.92,-7427.91,,,,,,,,,
131,1841.42,4446.34,4960.15,470.42,271.5,-118.04,-3914.99,-28934.37,1618.9,17250.95,-5600.55,167.51,-2107.73,-5433.04,-7540.77,,,,,,,,,
141,1867.4,4588.14,4969.86,486.53,253.49,-94.95,-3897.4,-29108.13,1602.91,17205.9,-5412.32,163.69,-2126.26,-5248.63,-7374.89,,,,,,,,,
