GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
1,1754.41,4459.38,5008.8,465.66,263.5,-89.73,-4006.82,-29589.22,1625.47,17231.6,-4993.13,145.55,-2876.95,-4847.58,-7724.53,,,,,,,,,
11,1833.18,4475.5,5023.64,467.36,242.41,-119.96,-3885.02,-29166.58,1619.05,17263.52,-5411.85,163.48,-2246.9,-5248.37,-7495.27,,,,,,,,,
21,1859.51,4515.33,4994.4,469.12,276.68,-96.1,-3876.68,-29083.92,1603.61,17242.07,-5516.14,166.01,-2095.97,-5350.14,-7446.11,,,,,,,,,
31,1808.11,4552.89,5009.23,471.12,254.57,-129.86,-3814.42,-28943.24,1614.65,17328.64,-5675.3,172.96,-1848.31,-5502.34,-7350.65,,,,,,,,,
41,1798.61,4517.67,5021.14,494.11,281.28,-115.82,-3912.6,-28862.84,1594.92,17161.64,-5576.02,164.69,-2021.88,-5411.33,-7433.22,,,,,,,,,
51,1770.44,4463.02,4981.94,470.06,271.34,-151.56,-3897.99,-28885.71,1615.79,17265.55,-5602,169.87,-2097.11,-5432.12,-7529.23,,,,,,,,,
61,1884.65,4439.68,4955.25,467.63,259.79,-124.8,-3873.09,-29091.51,1624.93,17278.8,-5513.42,166.84,-2178.67,-5346.58,-7525.25,,,,,,,,,
71,1846.78,4526.38,4947.55,498.7,260.2,-94.49,-3880.05,-28847.11,1615.72,17152.29,-5650.69,168.05,-1974.04,-5482.65,-7456.68,,,,,,,,,
81,1863.3,4546.75,4985.12,482.87,299.83,-86.87,-3843.35,-29002.63,1622.98,17244.66,-5603.1,170.94,-1887.36,-5432.16,-7319.52,,,,,,,,,
91,1851.01,4468.53,4935.91,476.7,278.91,-98.64,-3835.77,-28994.16,1617.89,17305.23,-5613.75,168.43,-1994.4,-5445.32,-7439.72,,,,,,,,,
101,1803.4,4497.07,4970.44,480.03,261.73,-117.13,-3877.11,-29039.85,1639.02,17317.16,-5597.61,169.07,-2065.24,-5428.53,-7493.77,,,,,,,,,
111,1842.37,4453.91,5013.75,473.68,262.76,-106.38,-3840.01,-29156.17,1638.97,17353.93,-5525.45,163.94,-2063.17,-5361.5,-7424.67,,,,,,,,,
121,1804.27,4451.27,4950.05,463.75,267.89,-95.36,-3844.6,-28909.83,1595.82,17296.96,-5666.71,169.95,-2019.78,-5496.76,-7516.54,,,,,,,,,
131,1814.81,4444.8,4953.45,488.33,263.61,-107.83,-3820.43,-29010.1,1620.38,17282.26,-5593.82,169.19,-2070.71,-5424.63,-7495.34,,,,,,,,,
