GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
1,1823.85,4218.93,4994.7,480.41,264.7,-85.92,-4040.14,-29692.13,1665.17,17419.89,-5013.28,144.59,-2950.53,-4868.69,-7819.22,,,,,,,,,
11,1820.68,4339.02,4977.81,486.02,236.19,-93.29,-3975.31,-29242.77,1627.07,17213.7,-5283.38,154.71,-2610.88,-5128.67,-7739.55,,,,,,,,,
21,1859.59,4245.01,5019.72,492.5,280.15,-66.14,-3943.82,-29202.49,1630.94,17309.08,-5383.42,159.64,-2375.47,-5223.78,-7599.25,,,,,,,,,
31,1789.14,4244.88,4986.21,479.77,276.57,-121.83,-3913.07,-29068.52,1648.32,17323.98,-5479.63,161.96,-2354.56,-5317.67,-7672.23,,,,,,,,,
41,1873.75,4226.98,4977.21,474.34,262.28,-109.78,-3929.07,-29341.26,1617.64,17339.62,-5301.47,159.32,-2608.31,-5142.15,-7750.46,,,,,,,,,
51,1767.07,4381.75,4988.45,474.61,284.78,-98.34,-3889.43,-29329.16,1581.58,17283.58,-5298.51,159.34,-2555.11,-5139.17,-7694.28,,,,,,,,,
61,1832.64,4185.23,5002.59,474.77,262.63,-89.66,-3903.29,-29149.64,1651.82,17162.17,-5374.35,158.21,-2570.73,-5216.15,-7786.87,,,,,,,,,
71,1825.68,4321.95,4990.12,485.3,259.84,-113.38,-3884.9,-29177.95,1637.51,17247.55,-5383.27,162.52,-2408.27,-5220.75,-7629.02,,,,,,,,,
81,1816.84,4277.31,4960.56,504.06,266.32,-113.52,-3932.47,-29187.01,1635.87,17277.63,-5386.45,160.26,-2494.41,-5226.19,-7720.61,,,,,,,,,
91,1814.09,4355.89,4949.54,478.23,259.24,-85.49,-3881.05,-29344.46,1649.44,17224.31,-5257.36,158.92,-2580.27,-5098.44,-7678.71,,,,,,,,,
101,1741.64,4253.06,4974.69,472.59,270.96,-97.39,-3915.99,-29187.54,1624.18,17286.59,-5365.12,161.79,-2577.2,-5203.33,-7780.54,,,,,,,,,
111,1813.88,4250.13,4960.32,467.82,285.26,-125.14,-3910.58,-29056.5,1630.42,17210.55,-5441.91,160.21,-2473.85,-5281.7,-7755.55,,,,,,,,,
121,1792.07,4314.78,5001.68,478.45,267.83,-121.47,-3894.69,-29197.36,1643.59,17327.44,-5437.56,163.73,-2387.69,-5273.84,-7661.52,,,,,,,,,
131,1804.75,4256.78,4980.19,489.3,262.5,-117.36,-3875.03,-29126.76,1664.58,17317.49,-5501.96,165.96,-2343.55,-5336,-7679.55,,,,,,,,,
