GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
1,1719.78,4186.22,4997.95,479.42,276.91,-60.76,-4005.01,-29598.21,1657.72,17201.91,-4989.73,144.64,-3144.06,-4845.1,-7989.16,,,,,,,,,
11,1801.5,4298.46,4967.52,483.33,273.35,-106.89,-3899.46,-29431.67,1626.41,17320.47,-5230.88,158.5,-2666.99,-5072.38,-7739.37,,,,,,,,,
21,1807.79,4214.09,4979.11,474.62,278.15,-109.32,-3882.7,-29324.17,1619.89,17171.14,-5308.07,159.83,-2771.4,-5148.24,-7919.64,,,,,,,,,
31,1797.22,4281.99,4989.89,466,257.22,-113.26,-3901.26,-29399.2,1601.8,17181.22,-5214.7,159.52,-2838.38,-5055.18,-7893.56,,,,,,,,,
41,1819.95,4260.31,4986.43,471.29,265.43,-102.65,-3940.21,-29206.09,1635.68,17111.3,-5319.92,157.6,-2698.55,-5162.33,-7860.87,,,,,,,,,
51,1807.78,4184.85,4956.01,469.96,239.53,-68.48,-3939.19,-29269.69,1612.54,17244.55,-5321.57,156.41,-2762.14,-5165.16,-7927.29,,,,,,,,,
61,1831.54,4259.86,5002.44,472.01,273.88,-97.28,-3934.35,-29141.23,1601.54,17184.65,-5374.67,160.81,-2546.93,-5213.86,-7760.79,,,,,,,,,
71,1799.56,4303.45,4999.71,471.9,273.04,-109.74,-3873.17,-29276.86,1625.67,17095.31,-5321.2,157.77,-2691.12,-5163.43,-7854.55,,,,,,,,,
81,1825.76,4269.99,4973.39,500.52,272.82,-114.12,-3889.36,-29018.06,1611.12,17134.92,-5448.48,162.74,-2433.03,-5285.75,-7718.78,,,,,,,,,
91,1815.64,4266.53,4956.06,496.92,269.48,-102.85,-3888.98,-29088.91,1596.39,17128.58,-5417.48,160.85,-2551.15,-5256.63,-7807.77,,,,,,,,,
101,1875.54,4343.11,4965.99,484.1,276.78,-80.89,-3915.41,-29185.82,1584.22,17130.88,-5353.9,159.72,-2521.49,-5194.19,-7715.67,,,,,,,,,
111,1787.12,4116.98,5013.61,476,243.94,-95.88,-3930.64,-29260.92,1624.05,17263.06,-5359.52,159.28,-2762.68,-5200.24,-7962.91,,,,,,,,,
121,1830.18,4308.12,5013.66,490.88,268,-108.75,-3859.4,-29183.27,1602.69,17133.85,-5381.31,162.32,-2504.04,-5218.99,-7723.04,,,,,,,,,
131,1840.1,4292.02,4932.32,489.24,275.16,-80.43,-3895.11,-29034.77,1612.14,17156.5,-5512.76,161.38,-2412.84,-5351.38,-7764.22,,,,,,,,,
141,1847.67,4155.82,4984.48,469.96,273.56,-116.54,-3939.1,-28945.34,1631.6,17226.45,-5545.88,160.61,-2411.44,-5385.28,-7796.72,,,,,,,,,
151,1791.2,4253.56,5059.82,470.98,271.61,-96.47,-3912.03,-29028.37,1593.41,17113.29,-5484.1,162.57,-2483,-5321.53,-7804.52,,,,,,,,,
161,1804.83,4300.41,4985.56,467.63,287.28,-113.88,-3907.53,-29100.37,1616.07,17120.62,-5383.72,159.32,-2539.38,-5224.39,-7763.77,,,,,,,,,
171,1774.82,4279.35,4943.87,465.56,267.89,-107.12,-3875.94,-29176.84,1637.45,17187.42,-5411.34,163.89,-2603.54,-5247.45,-7850.99,,,,,,,,,
181,1830.32,4098.3,5000.85,468.29,255.55,-67.4,-3922.8,-29026.99,1598,17213.54,-5493.06,161.64,-2552.35,-5331.42,-7883.77,,,,,,,,,
191,1851.31,4310.95,4944.82,475.2,278.84,-120.74,-3906.72,-28965.44,1587.59,17156.64,-5549.41,160.11,-2387.55,-5389.3,-7776.85,,,,,,,,,
201,1789.61,4261.45,4932.98,458.91,282.69,-81.61,-3878.36,-29090.75,1610.75,17186.9,-5490.27,160.82,-2527.43,-5329.45,-7856.88,,,,,,,,,
211,1840.35,4311.3,4975.54,499.01,262.81,-152.24,-3880.16,-29040.91,1603.47,17084.19,-5496.96,164.83,-2496.63,-5332.13,-7828.76,,,,,,,,,
221,1851.38,4313.96,5068.1,483.29,268.99,-104.21,-3919.96,-29117.19,1604.39,17055.06,-5408.81,162.99,-2496.19,-5245.82,-7742.01,,,,,,,,,
231,1789.28,4272.07,5009.33,470.71,258.92,-130.97,-3935.02,-28920.99,1612.5,17126.76,-5562.85,161.28,-2447.41,-5401.57,-7848.98,,,,,,,,,
241,1828.45,4302.98,4976.25,482.71,279.37,-104.16,-3836.59,-28930.53,1645.62,17011.72,-5462.42,163.53,-2344.19,-5298.89,-7643.08,,,,,,,,,
251,1867.79,4239.65,4940.22,482.75,277.17,-116.65,-3894.67,-29008.94,1633.12,17117.89,-5539.49,164.92,-2461.67,-5374.58,-7836.24,,,,,,,,,
261,1864.86,4163.1,5018.6,471.17,266.47,-137.09,-3891.86,-29047.08,1638.76,17078.02,-5465.35,162.89,-2575.04,-5302.47,-7877.51,,,,,,,,,
271,1778.86,4290.26,4956.62,476.43,251.93,-127.53,-3937.38,-29192.28,1649.23,17272.75,-5452.36,160.96,-2581.08,-5291.4,-7872.48,,,,,,,,,
281,1805.15,4243.92,4963.15,482.14,272.02,-114.97,-3896.67,-29153.06,1606.33,17151.9,-5393.53,162.31,-2640.09,-5231.23,-7871.32,,,,,,,,,
291,1836.06,4318.75,4996.29,495.94,255.99,-139.53,-3891.07,-29072.91,1620.01,17115.55,-5454.03,160.79,-2464.92,-5293.24,-7758.15,,,,,,,,,
301,1857.85,4254.62,4969.79,488.46,274.8,-135.38,-3882.31,-29084.59,1598.47,17161.98,-5434.75,164.88,-2496.3,-5269.87,-7766.17,,,,,,,,,
311,1715.65,4245.8,4976.94,477.15,274.84,-117.94,-3886.26,-29085.45,1625.96,17240.47,-5512.94,162.41,-2532.83,-5350.53,-7883.36,,,,,,,,,
321,1761.29,4245.83,5056.54,473.32,267.71,-141.61,-3882.8,-29079.82,1636.18,17187.65,-5499.79,161.15,-2475.71,-5338.64,-7814.35,,,,,,,,,
331,1787.26,4284.15,4981.78,479.91,282.22,-132.63,-3901.38,-28839.72,1587.59,16990.26,-5571.02,163.71,-2480.54,-5407.32,-7887.86,,,,,,,,,
341,1831.23,4233.82,4979.92,485.95,261.87,-123.63,-3891.59,-29058.24,1661.39,17232.42,-5514.35,166.86,-2386.87,-5347.5,-7734.37,,,,,,,,,
351,1851.02,4297.93,4977.87,489.67,282.72,-142.68,-3879.92,-28896.67,1545.78,17080.33,-5585.2,167.58,-2393.95,-5417.62,-7811.56,,,,,,,,,
361,1760.18,4256.88,4961.85,462.67,274.19,-116.97,-3896.05,-29027.21,1612.56,17201.79,-5493.55,165.95,-2510.1,-5327.6,-7837.69,,,,,,,,,
371,1799.18,4236.52,4994.96,458.78,250.33,-143.77,-3858.33,-29180.3,1636.01,17185.54,-5431.36,166.57,-2621.08,-5264.79,-7885.87,,,,,,,,,
381,1770.07,4262.8,5000.24,481.63,263.02,-130.01,-3830.2,-29172.67,1635.46,17156.97,-5433,166.76,-2562.7,-5266.24,-7828.93,,,,,,,,,
391,1763.39,4170.77,4981.52,466.67,284.33,-89.64,-3897.21,-29241.06,1591.46,17312.49,-5413.8,162.98,-2657.26,-5250.82,-7908.08,,,,,,,,,
401,1813.08,4248.33,4958.24,498.92,276.84,-102.94,-3849.97,-28893.77,1615.54,17079.69,-5528.93,165.6,-2356.04,-5363.33,-7719.38,,,,,,,,,
411,1745.13,4203.02,4985.38,465.73,267.27,-109.08,-3823.79,-28992.11,1648.12,17244.08,-5566.26,167.86,-2366.23,-5398.4,-7764.64,,,,,,,,,
421,1813.78,4252.15,4992.25,476.16,263.67,-120.24,-3800.51,-28949.69,1618.67,17106.87,-5568.82,165.19,-2346.89,-5403.63,-7750.52,,,,,,,,,
431,1776.08,4224.92,4983.02,474.64,269.54,-127.23,-3867.16,-29064.11,1650.39,17238.23,-5499.01,163.72,-2441.68,-5335.3,-7776.98,,,,,,,,,
441,1804.73,4271.37,4938.46,479.73,266.92,-120.37,-3845.94,-28936.72,1618.85,17060.89,-5528.45,167.71,-2462.09,-5360.74,-7822.83,,,,,,,,,
451,1814.17,4252.07,4953.08,487.36,284.42,-112.94,-3887.11,-28955.59,1599.3,17078.52,-5500.16,167,-2486.71,-5333.16,-7819.87,,,,,,,,,
461,1827.85,4364.84,4921.86,483.29,264.86,-131.57,-3814.61,-28916.72,1611.3,16933.05,-5485.57,166.63,-2455.86,-5318.94,-7774.8,,,,,,,,,
471,1784.19,4252.21,4945.54,487.25,265.64,-125.14,-3847.49,-28926.18,1591.42,17038.45,-5498.21,167.34,-2534.1,-5330.87,-7864.96,,,,,,,,,
481,1809.01,4359.98,5022.34,491.68,272.46,-154.79,-3900.98,-28835.24,1596.08,17074.81,-5649.03,169.16,-2264.65,-5479.87,-7744.52,,,,,,,,,
491,1779.01,4273.19,4946.6,463.39,284.12,-137.57,-3893.15,-28900.75,1602.21,17161.74,-5523.72,166.64,-2421.19,-5357.07,-7778.26,,,,,,,,,
501,1847.78,4295.24,4957.09,466.97,261.6,-133.16,-3884.37,-29007.43,1604.32,17064.93,-5428.21,164.1,-2527.03,-5264.11,-7791.13,,,,,,,,,
511,1798.04,4231.04,5041.83,482.75,269.03,-116.54,-3875.36,-28954.01,1601.17,17014.48,-5504.46,168.44,-2507.56,-5336.02,-7843.58,,,,,,,,,
521,1793.99,4219.88,4941.04,470.16,283.81,-139.03,-3868.56,-29025.2,1612.54,17177.35,-5478.27,167.68,-2534.01,-5310.59,-7844.61,,,,,,,,,
531,1797.88,4244.2,4985.59,475.25,278.94,-123.37,-3879.49,-28863.21,1653.08,17028.31,-5563.68,167.07,-2402.81,-5396.61,-7799.42,,,,,,,,,
541,1837.3,4234.07,4922.36,466.8,268.91,-121.5,-3898.5,-28782.88,1595.77,16981.88,-5560.67,168.18,-2495.79,-5392.49,-7888.28,,,,,,,,,
551,1839.72,4274.22,4992.65,487.79,269.09,-119.05,-3857.78,-28964.34,1601.96,17083.39,-5501.37,165.74,-2392.34,-5335.63,-7727.97,,,,,,,,,
561,1830.6,4312.9,5016.98,486.4,273.84,-134.23,-3875.06,-28956.94,1589.19,17153.39,-5507.55,169.15,-2302.94,-5338.4,-7641.34,,,,,,,,,
571,1825.13,4225.11,4982.06,467.89,275.29,-89.41,-3883.61,-28950.37,1604.23,17063,-5484.25,170.52,-2480.67,-5313.72,-7794.4,,,,,,,,,
581,1785.22,4207.62,4991.54,468.25,263.34,-135.65,-3880.51,-29030.3,1598.6,17140.79,-5447.55,169.13,-2591.09,-5278.43,-7869.52,,,,,,,,,
591,1787.41,4157.27,4983.3,466.39,271.08,-141.73,-3843.9,-28994.85,1650.54,17133.53,-5458.09,166.29,-2530.96,-5291.8,-7822.76,,,,,,,,,
601,1858.14,4362.22,4923.89,491.56,272.84,-112.94,-3827.58,-29076.25,1596.93,16996.11,-5340.99,166.01,-2515.09,-5174.97,-7690.06,,,,,,,,,
611,1891.77,4281.32,4975.08,468.54,261.55,-99.63,-3909.39,-28997.68,1617.05,16974.29,-5434.16,164.61,-2537.1,-5269.55,-7806.65,,,,,,,,,
621,1769.41,4241.6,4999.57,476.75,252.04,-86.66,-3926,-29086.78,1642.01,17022.23,-5318.52,160.83,-2695.84,-5157.69,-7853.53,,,,,,,,,
631,1852.05,4221.47,4989.32,476,265.05,-112.54,-3872.77,-28984.24,1600.19,16981.3,-5444.72,166.4,-2584.17,-5278.32,-7862.49,,,,,,,,,
641,1869.84,4246.89,5006.18,483.53,281.9,-148.13,-3847.01,-28983.05,1596.8,16895.37,-5386.57,165.05,-2597.66,-5221.53,-7819.19,,,,,,,,,
